"Name","Max Date","R.A.","Dec.","z","Type"
"PTF13cab","2013/07/29","22:13:17.71","+14:26:06.7","0.03","Ib"
"PTF13cbf","2013/07/29","23:13:07.02","+14:17:53.6","0.039","Ic"
"LSQ13bwg","2013/08/27","23:55:45.10","-02:10:52.8","0.024","Ib/c"
"SN2013ff","2013/09/03","09:13:38.88,09:13:38.8","+76:28:10.8,+76:28:10.81","0.004923","Ic"
"iPTF13edf","2013/11/27","07:44:09.51","+40:19:28.5","0.0267","IIb/Ib"
"SN2013ge","2013/11/28","10:34:48.46","+21:39:41.9,+21:39:41.90","0.004356","Ic"
"SN2013hd","2013/12/01","03:54:21.40,03:54:21.4,03:54:21.408","+17:35:04.8,+17:35:05,+17:35:04.81,+17:35:04.92","0.03368","Ib"
"SN2014C","2014/01/13","22:37:05.60","+34:24:31.9,+34:24:31.90","0.002722","Ib"
"CSS140222:141104+253050","2014/02/21","14:11:04.41,14:11:04.39","+25:30:49.9","0.031","Ib"
"SN2014L","2014/02/22","12:18:48.68,12:18:48.72","+14:24:43.5,+14:24:43.49,+14:24:43.4","0.008029","Ic"
"PTF14va","2014/02/23","12:21:57.98","+02:20:41.2","0.006","Ib/c"
"SN2012fh","2014/03/29","10:43:34.05","+24:53:29.0,+24:53:29.00","0.001935","Ic"
"SN2014av","2014/04/18","09:00:20.02","+52:29:28.0,+52:29:28.00","0.030154","Ibn"
"SN2014as","2014/04/23","14:00:54.49","+40:58:59.6,+40:58:59.59","0.012469","Ic"
"CSS140505:143511+134946","2014/05/05","14:35:11.0,14:35:10.54","+13:49:46,+13:49:46.5","","Ic-lum?"
"SN2014bl","2014/06/05","13:25:38.81","+25:57:33.9,+25:57:33.91","0.0377","Ic"
"LSQ14cnl","2014/06/17","15:50:23.86","+00:34:17.8","0.0549","Ib"
"ASASSN-14de","2014/06/22","10:40:39.33,10:40:39.36,10:40:39","+39:03:52.7,+39:03:52.56,+39:53:02","0.029284","Ic"
"SN2014dj","2014/09/23","00:57:40.18","+43:47:35.1,+43:47:34.19,+43:47:34.2,+43:47:43.2","0.018","Ic"
"CSS140925:005854+181322","2014/09/24","00:58:54.11,00:58:54.12","+18:13:22.2","0.46","SLSN-I"
"LSQ14fxj","2014/10/11","02:39:12.61","+03:19:29.6","0.36","SLSN-I"
"CSS141028:081814+044553","2014/10/27","08:18:13.89,08:18:13.90","+04:45:52.6,+04:45:52.7","0.009","Ib"
"MASTER OT J120451.50+265946.6","2014/11/02","12:04:51.50,12:04:51.6","+26:59:46.6,+26:59:46.68","0.00189","Ib"
"SN2014ei","2014/11/21","05:03:16.36,05:03:16.39","-02:56:11.4,-02:56:11.00,-02:56:11.0","0.01444","Ib"
"PSN J22081243+4110503","2014/12/11","22:08:12.43","+41:10:50.3","0.018","Ic"
"LSQ15cj","2014/12/23","11:31:20.90","-04:02:42.2","0.054,0.034","Ic"
"ASASSN-14ms","2014/12/28","13:04:08.69,13:04:08.64","+52:18:46.5,+52:18:46.44","0.065,0.063","Ib"
"LSQ15hj","2015/01/23","10:11:36.25","-04:40:43.3","0.065","II"
"PSN J05521661+4650211","2015/01/28","05:52:16.61","+46:50:21.1","0.0224","Ic?"
"ASASSN-15ed","2015/02/28","16:48:25.16,16:48:25.2","+50:59:30.7,+50:59:30.6,+50:59:30.84","0.04866","Ibn"
"SN2015bn","2015/03/19","11:33:41.57,11:33:41.55,11:33:41.52","+00:43:32.2,+00:43:33.50,+00:43:32.3,+00:43:33.46","0.1136","Ic"
"CSS150325:140426+514417","2015/03/24","14:04:26.0,14:04:26.04","+51:44:17,+51:44:16.8","0.046","Ic"
"SN2015Y","2015/04/17","09:02:37.87,09:02:37.92","+25:56:04.2,+25:56:04.20,+25:56:03.84","0.008","Ib"
"SN2015K","2015/05/23","23:35:52.26,23:35:52.32","+23:36:52.1,+23:36:52.09,+23:36:51.84","0.010184","Ic"
"SN2015Q","2015/06/19","11:47:35.08,11:47:35.12","+55:58:14.7,+55:58:14.70,+55:58:15.4","0.008","Ib"
"PS15ays","2015/06/26","17:17:48.46","+26:03:42.0","0.04","Ib"
"PS15bap","2015/06/30","18:31:27.64","+48:28:24.8","0.05","Ic"
"ASASSN-15mj","2015/07/17","14:02:15.640,14:02:15.64,14:02:15.6","+33:39:40.29,+33:39:40.3,+33:39:40.32","0.034371","Ib"
"PS15axw","2015/07/25","17:52:23.91","+42:03:27.6","0.04","Ic"
"ASASSN-15no","2015/08/02","15:38:25.30,15:38:25.44","+46:54:06.6,+46:54:06.12","0.043","Ic"
"SN2015ag","2015/08/05","00:42:21.86","+29:38:41.5,+29:38:41.50","0.0162","Ic"
"SN2015ah","2015/08/05","23:00:24.63","+01:37:36.8,+01:37:36.80","0.016","Ib"
"PS15bvb","2015/08/30","03:37:18.46","-05:02:10.2","0.022","Ib/IIb"
"SN2015ap","2015/09/17","02:05:13.32","+06:06:08.4,+06:06:08.39","0.01138","Ib/c-BL"
"ASASSN-15re","2015/10/12","20:48:07.780,20:48:07.78,20:48:07.68","+16:23:01.33,+16:23:01.3,+16:23:01.32","0.030314","Ic Pec"
"PS15cvn","2015/11/15","00:09:21.67,00:09:21.677","-00:04:06.5,-00:04:06.78","0.065","Ic"
"SN2015bb","2015/11/18","14:51:37.83,14:51:37.00","+40:35:51.4,+40:35:51.40,+40:35:51.0","0.016345","Ib/c"
"SN2016P","2016/01/19","13:57:31.13,13:57:31.10","+06:05:51.6,+06:05:51.00,+06:05:51.0","0.014617","Ic"
"SN2016ajo","2016/02/20","18:44:12.49","+24:09:29.70,+24:09:29.7","0.016,0.016,0.014","Ib"
"SN2016G","2016/03/05","03:03:57.74,03:03:57.696","+43:24:03.50,+43:24:03.5,+43:24:03.6","0.009146","Ic BL"
"SN2016aws","2016/03/14","10:19:34.62,10:19:34.61","-01:00:32.62,-01:00:32.6","0.043,0.043","Ib"
"SN2016bau","2016/03/27","11:20:59.02,11:20:59.01,11:20:59","+53:10:25.60,+53:10:25.6","0.003856,0.003856","Ib"
"SN2016bke","2016/03/27","12:52:12.61,12:52:12.48,12:52:12.60","+48:09:11.60,+48:09:11.6,+48:09:11.52","0.09","Ib"
"SN2016bll","2016/03/31","08:33:18.30,08:33:18.25","+19:20:44.80,+19:20:44.8","0.01914,0.01914","Ib"
"SN2016bkj","2016/04/11","15:59:38.88,15:59:38.96","+19:05:04.92,+19:05:05.04,+19:05:05.0","0.03168","Ib"
"SN2016bir","2016/04/14","13:14:05.88,13:14:05.90,13:14:05.87","+33:55:09.63,+33:55:09.7,+33:55:09.6","0.032,0.032","Ib"
"SN2016dyn","2016/05/06","22:37:45.40,22:37:45.42,22:37:45.36,22:37:45.43","+23:47:14.00,+23:47:13.9,+23:47:13.92,+23:47:14.1","0.00532","Ic"
"SN2016dzl","2016/05/09","23:07:32.70,23:07:32.64","+15:20:22.70,+15:20:22.7,+15:20:22.56","","Ib"
"SN2016cce","2016/05/22","13:33:27.20,13:33:27.12,13:33:27.09","+05:28:57.82,+05:28:57.8,+05:28:55.704,+05:28:55.8","0.022,0.022,0.022","Ic"
"SN2016coi","2016/06/03","21:59:04.14,21:59:04.140,21:59:04.08","+18:11:10.5,+18:11:10.46,+18:11:10.68,+18:11:11.04","0.003646,0.003646","Ic BL"
"SN2016eld","2016/07/27","17:21:12.20,17:21:12.237,17:21:12.24","+01:59:23.20,+01:59:23.17,+01:59:23.172","0.039","Ic"
"SN2016emb","2016/07/28","20:23:37.20,20:23:37.200,20:23:37.2","+82:49:15.10,+82:49:14.88","0.059","Ic"
"SN2016fhn","2016/08/21","01:34:40.15,01:34:40.150,01:34:40.14","+55:25:08.33,+55:25:08.3","0.025,0.025","Ic"
"SN2016fxu","2016/08/27","01:53:58.97,01:53:58.970,01:53:58.96","-00:45:01.98,-00:45:01.9","0.016,0.016","Ic"
"SN2016flq","2016/09/26","00:28:36.51,00:28:36.510","-01:33:03.12,-01:33:03.10,-01:33:03.1","0.06,0.06","Ic"
"SN2016gsk","2016/09/27","20:41:09.96,20:41:09.960","-05:05:58.25","0.021,0.021","Ic"
"SN2016gcm","2016/10/12","21:04:55.22,21:04:55.220,21:04:55.18","+65:42:29.30,+65:42:28.9","0.0224227","Ic?"
"SN2016gqv","2016/10/13","04:02:48.53,04:02:48.530","+01:58:15.60,+01:58:15.5","0.012,0.012","Ic Pec"
"SN2016ino","2016/11/30","17:22:44.46,17:22:44.460,17:22:44.4","+62:09:44.40,+62:09:44.28","0.031,0.031","Ic BL"
"SN2016jev","2016/12/28","04:10:48.94,04:10:48.940,04:10:48.93","+05:28:21.78,+05:28:21.7","0.032","Ib"
"SN2016jdw","2016/12/29","13:16:19.62,13:16:19.620,13:16:19.59","+30:40:32.67,+30:40:32.6","0.0189,0.0189","Ib"
"SN2017hl","2017/01/09","12:07:18.83,12:07:18.830,12:07:18.72","+16:50:26.02,+16:50:26.16","0.023073,0.023073","Ib"
"SN2017wj","2017/01/29","07:24:08.95","+39:51:43.62,+39:51:43.64","0.051","Ib"
"SN2017bgu","2017/02/22","16:55:59.47,16:55:59.470","+42:33:36.01","0.008503","Ib"
"SN2017cxz","2017/04/09","17:19:19.78,17:19:19.780,17:19:19.66","+57:53:55.80,+57:53:54.6","0.0289,0.0289","Ib"
"SN2017ddc","2017/04/11","11:55:41.64,11:55:41.640","+24:55:07.50,+24:55:07.5","0.034,0.034","Ic"
"SN2017dio","2017/04/29","11:36:27.76,11:36:27.760","+18:17:46.92","0.037,0.037","Ic"
